Time,0,1,2,3,4
0,2.5,2.5,5.0,20.0,20.0
0,20.0,5.0,2.5,20.0,2.5
0,20.0,5.0,2.5,20.0,2.5
0,20.0,5.0,2.5,20.0,2.5
0,20.0,5.0,2.5,20.0,2.5
0,20.0,5.0,2.5,20.0,2.5
0,20.0,5.0,2.5,20.0,2.5
0,20.0,5.0,2.5,20.0,2.5
0,20.0,5.0,2.5,20.0,2.5
0,20.0,5.0,2.5,20.0,2.5
0,20.0,5.0,2.5,20.0,2.5
0,20.0,5.0,2.5,20.0,2.5
0,20.0,5.0,2.5,20.0,2.5
0,20.0,5.0,2.5,20.0,2.5
0,20.0,5.0,2.5,20.0,2.5
0,20.0,5.0,2.5,20.0,2.5
0,20.0,5.0,2.5,20.0,2.5
0,20.0,5.0,2.5,20.0,2.5
0,20.0,5.0,2.5,20.0,2.5
0,20.0,5.0,2.5,20.0,2.5
0,20.0,5.0,2.5,20.0,2.5
0,20.0,5.0,2.5,20.0,2.5
0,20.0,5.0,2.5,20.0,2.5
0,20.0,5.0,2.5,20.0,2.5
0,20.0,5.0,2.5,20.0,2.5
0,20.0,5.0,2.5,20.0,2.5
0,20.0,5.0,2.5,20.0,2.5
0,20.0,5.0,2.5,20.0,2.5
0,20.0,5.0,2.5,20.0,2.5
0,20.0,5.0,2.5,20.0,2.5
0,20.0,5.0,2.5,20.0,2.5
0,20.0,5.0,2.5,20.0,2.5
0,20.0,5.0,2.5,20.0,2.5
0,20.0,5.0,2.5,20.0,2.5
0,20.0,5.0,2.5,20.0,2.5
0,20.0,5.0,2.5,20.0,2.5
0,20.0,5.0,2.5,20.0,2.5
0,20.0,5.0,2.5,20.0,2.5
0,20.0,5.0,2.5,20.0,2.5
0,20.0,5.0,2.5,20.0,2.5
0,20.0,5.0,2.5,20.0,2.5
0,20.0,5.0,2.5,20.0,2.5
0,20.0,5.0,2.5,20.0,2.5
0,20.0,5.0,2.5,20.0,2.5
0,20.0,5.0,2.5,20.0,2.5
0,20.0,5.0,2.5,20.0,2.5
0,20.0,5.0,2.5,20.0,2.5
0,20.0,5.0,2.5,20.0,2.5
0,20.0,5.0,2.5,20.0,2.5
1,5.0,1.6666666666666667,20.0,20.0,5.0
1,5.0,1.6666666666666667,20.0,20.0,5.0
1,5.0,1.6666666666666667,20.0,20.0,5.0
1,5.0,1.6666666666666667,20.0,20.0,5.0
1,5.0,1.6666666666666667,20.0,20.0,5.0
1,5.0,1.6666666666666667,20.0,20.0,5.0
1,5.0,1.6666666666666667,20.0,20.0,5.0
1,5.0,1.6666666666666667,20.0,20.0,5.0
1,5.0,1.6666666666666667,20.0,20.0,5.0
1,5.0,1.6666666666666667,20.0,20.0,5.0
1,5.0,1.6666666666666667,20.0,20.0,5.0
1,5.0,1.6666666666666667,20.0,20.0,5.0
1,5.0,1.6666666666666667,20.0,20.0,5.0
1,5.0,1.6666666666666667,20.0,20.0,5.0
1,5.0,1.6666666666666667,20.0,20.0,5.0
1,5.0,1.6666666666666667,20.0,20.0,5.0
1,5.0,1.6666666666666667,20.0,20.0,5.0
1,5.0,1.6666666666666667,20.0,20.0,5.0
1,5.0,1.6666666666666667,20.0,20.0,5.0
1,5.0,1.6666666666666667,20.0,20.0,5.0
1,5.0,1.6666666666666667,20.0,20.0,5.0
1,5.0,1.6666666666666667,20.0,20.0,5.0
1,5.0,1.6666666666666667,20.0,20.0,5.0
1,5.0,1.6666666666666667,20.0,20.0,5.0
1,5.0,1.6666666666666667,20.0,20.0,5.0
1,5.0,1.6666666666666667,20.0,20.0,5.0
1,5.0,1.6666666666666667,20.0,20.0,5.0
1,5.0,1.6666666666666667,20.0,20.0,5.0
1,5.0,1.6666666666666667,20.0,20.0,5.0
1,5.0,1.6666666666666667,20.0,20.0,5.0
1,5.0,1.6666666666666667,20.0,20.0,5.0
1,5.0,1.6666666666666667,20.0,20.0,5.0
1,5.0,1.6666666666666667,20.0,20.0,5.0
1,5.0,1.6666666666666667,20.0,20.0,5.0
1,5.0,1.6666666666666667,20.0,20.0,5.0
1,5.0,1.6666666666666667,20.0,20.0,5.0
1,5.0,1.6666666666666667,20.0,20.0,5.0
1,5.0,1.6666666666666667,20.0,20.0,5.0
1,5.0,1.6666666666666667,20.0,20.0,5.0
1,5.0,1.6666666666666667,20.0,20.0,5.0
1,5.0,1.6666666666666667,20.0,20.0,5.0
1,5.0,1.6666666666666667,20.0,20.0,5.0
1,5.0,1.6666666666666667,20.0,20.0,5.0
1,5.0,1.6666666666666667,20.0,20.0,5.0
2,2.5,5.0,5.0,20.0,5.0
2,2.5,5.0,5.0,20.0,5.0
2,2.5,5.0,5.0,20.0,5.0
2,2.5,5.0,5.0,20.0,5.0
2,2.5,5.0,5.0,20.0,5.0
2,2.5,5.0,5.0,20.0,5.0
2,2.5,5.0,5.0,20.0,5.0
2,2.5,5.0,5.0,20.0,5.0
2,2.5,5.0,5.0,20.0,5.0
2,2.5,5.0,5.0,20.0,5.0
2,2.5,5.0,5.0,20.0,5.0
2,2.5,5.0,5.0,20.0,5.0
2,2.5,5.0,5.0,20.0,5.0
2,2.5,5.0,5.0,20.0,5.0
2,2.5,5.0,5.0,20.0,5.0
2,2.5,5.0,5.0,20.0,5.0
2,2.5,5.0,5.0,20.0,5.0
2,2.5,5.0,5.0,20.0,5.0
2,2.5,5.0,5.0,20.0,5.0
2,2.5,5.0,5.0,20.0,5.0
2,2.5,5.0,5.0,20.0,5.0
2,2.5,5.0,5.0,20.0,5.0
2,2.5,5.0,5.0,20.0,5.0
2,2.5,5.0,5.0,20.0,5.0
2,2.5,5.0,5.0,20.0,5.0
2,2.5,5.0,5.0,20.0,5.0
2,2.5,5.0,5.0,20.0,5.0
2,2.5,5.0,5.0,20.0,5.0
2,2.5,5.0,5.0,20.0,5.0
2,2.5,5.0,5.0,20.0,5.0
2,2.5,5.0,5.0,20.0,5.0
2,2.5,5.0,5.0,20.0,5.0
2,2.5,5.0,5.0,20.0,5.0
2,2.5,5.0,5.0,20.0,5.0
2,2.5,5.0,5.0,20.0,5.0
2,2.5,5.0,5.0,20.0,5.0
2,2.5,5.0,5.0,20.0,5.0
2,2.5,5.0,5.0,20.0,5.0
2,2.5,5.0,5.0,20.0,5.0
2,2.5,5.0,5.0,20.0,5.0
2,2.5,5.0,5.0,20.0,5.0
2,2.5,5.0,5.0,20.0,5.0
2,2.5,5.0,5.0,20.0,5.0
2,2.5,5.0,5.0,20.0,5.0
2,2.5,5.0,5.0,20.0,5.0
2,2.5,5.0,5.0,20.0,5.0
2,2.5,5.0,5.0,20.0,5.0
3,5.0,5.0,20.0,5.0,2.5
3,5.0,5.0,20.0,5.0,2.5
3,5.0,5.0,20.0,5.0,2.5
3,5.0,5.0,20.0,5.0,2.5
3,5.0,5.0,20.0,5.0,2.5
3,5.0,5.0,20.0,5.0,2.5
3,5.0,5.0,20.0,5.0,2.5
3,5.0,5.0,20.0,5.0,2.5
3,5.0,5.0,20.0,5.0,2.5
3,5.0,5.0,20.0,5.0,2.5
3,5.0,5.0,20.0,5.0,2.5
3,5.0,5.0,20.0,5.0,2.5
3,5.0,5.0,20.0,5.0,2.5
3,5.0,5.0,20.0,5.0,2.5
3,5.0,5.0,20.0,5.0,2.5
3,5.0,5.0,20.0,5.0,2.5
3,5.0,5.0,20.0,5.0,2.5
3,5.0,5.0,20.0,5.0,2.5
3,5.0,5.0,20.0,5.0,2.5
3,5.0,5.0,20.0,5.0,2.5
3,5.0,5.0,20.0,5.0,2.5
