time,distance,competitor
0.03922677040100098,0.0,0
0.03922677040100098,0.0,1
0.03922677040100098,0.0,2
0.03922677040100098,0.0,3
0.03922677040100098,0.0,4
0.057385921478271484,0.0,0
0.057385921478271484,0.0,1
0.057385921478271484,0.0,2
0.057385921478271484,0.0,3
0.057385921478271484,0.0,4
0.07582998275756836,0.0,0
0.07582998275756836,0.0,1
0.07582998275756836,0.0,2
0.07582998275756836,0.0,3
0.07582998275756836,0.0,4
0.09357166290283203,0.0,0
0.09357166290283203,0.0,1
0.09357166290283203,0.0,2
0.09357166290283203,0.0,3
0.09357166290283203,0.0,4
0.10606789588928223,0.0,0
0.10606789588928223,0.0,1
0.10606789588928223,0.0,2
0.10606789588928223,0.0,3
0.10606789588928223,0.0,4
0.12405967712402344,0.0,0
0.12405967712402344,0.0,1
0.12405967712402344,0.0,2
0.12405967712402344,0.0,3
0.12405967712402344,0.0,4
0.14937376976013184,0.0,0
0.14937376976013184,0.0,1
0.14937376976013184,0.0,2
0.14937376976013184,0.0,3
0.14937376976013184,0.0,4
0.17970561981201172,0.0,0
0.17970561981201172,0.0,1
0.17970561981201172,0.0,2
0.17970561981201172,0.0,3
0.17970561981201172,0.0,4
0.20400476455688477,0.0,0
0.20400476455688477,0.0,1
0.20400476455688477,0.0,2
0.20400476455688477,0.0,3
0.20400476455688477,0.0,4
0.24101662635803223,0.0,0
0.24101662635803223,0.0,1
0.24101662635803223,0.0,2
0.24101662635803223,0.0,3
0.24101662635803223,0.0,4
0.2582988739013672,0.0,0
0.2582988739013672,0.0,1
0.2582988739013672,0.0,2
0.2582988739013672,0.0,3
0.2582988739013672,0.0,4
0.27132678031921387,0.0,0
0.27132678031921387,0.0,1
0.27132678031921387,0.0,2
0.27132678031921387,0.0,3
0.27132678031921387,0.0,4
0.2895028591156006,0.0,0
0.2895028591156006,0.0,1
0.2895028591156006,0.0,2
0.2895028591156006,0.0,3
0.2895028591156006,0.0,4
0.3074347972869873,0.0,0
0.3074347972869873,0.0,1
0.3074347972869873,0.0,2
0.3074347972869873,0.0,3
0.3074347972869873,0.0,4
0.33255982398986816,0.0,0
0.33255982398986816,0.0,1
0.33255982398986816,0.0,2
0.33255982398986816,0.0,3
0.33255982398986816,0.0,4
0.3498377799987793,0.0,0
0.3498377799987793,0.0,1
0.3498377799987793,0.0,2
0.3498377799987793,0.0,3
0.3498377799987793,0.0,4
0.38631176948547363,0.0,0
0.38631176948547363,0.0,1
0.38631176948547363,0.0,2
0.38631176948547363,0.0,3
0.38631176948547363,0.0,4
0.4041426181793213,0.0,0
0.4041426181793213,0.0,1
0.4041426181793213,0.0,2
0.4041426181793213,0.0,3
0.4041426181793213,0.0,4
0.433208703994751,0.0,0
0.433208703994751,0.0,1
0.433208703994751,0.0,2
0.433208703994751,0.0,3
0.433208703994751,0.0,4
0.44650793075561523,0.0,0
0.44650793075561523,0.0,1
0.44650793075561523,0.0,2
0.44650793075561523,0.0,3
0.44650793075561523,0.0,4
0.47040677070617676,0.0,0
0.47040677070617676,0.0,1
0.47040677070617676,0.0,2
0.47040677070617676,0.0,3
0.47040677070617676,0.0,4
0.48850178718566895,0.0,0
0.48850178718566895,0.0,1
0.48850178718566895,0.0,2
0.48850178718566895,0.0,3
0.48850178718566895,0.0,4
0.5037989616394043,0.0,0
0.5037989616394043,0.0,1
0.5037989616394043,0.0,2
0.5037989616394043,0.0,3
0.5037989616394043,0.0,4
0.5220258235931396,0.0,0
0.5220258235931396,0.0,1
0.5220258235931396,0.0,2
0.5220258235931396,0.0,3
0.5220258235931396,0.0,4
0.5404746532440186,0.0,0
0.5404746532440186,0.0,1
0.5404746532440186,0.0,2
0.5404746532440186,0.0,3
0.5404746532440186,0.0,4
0.556621789932251,0.0,0
0.556621789932251,0.0,1
0.556621789932251,0.0,2
0.556621789932251,0.0,3
0.556621789932251,0.0,4
0.5739777088165283,0.0,0
0.5739777088165283,0.0,1
0.5739777088165283,0.0,2
0.5739777088165283,0.0,3
0.5739777088165283,0.0,4
0.5860238075256348,0.0,0
0.5860238075256348,0.0,1
0.5860238075256348,0.0,2
0.5860238075256348,0.0,3
0.5860238075256348,0.0,4
0.6002397537231445,0.0,0
0.6002397537231445,0.0,1
0.6002397537231445,0.0,2
0.6002397537231445,0.0,3
0.6002397537231445,0.0,4
0.6124317646026611,0.0,0
0.6124317646026611,0.0,1
0.6124317646026611,0.0,2
0.6124317646026611,0.0,3
0.6124317646026611,0.0,4
0.630786657333374,0.0,0
0.630786657333374,0.0,1
0.630786657333374,0.0,2
0.630786657333374,0.0,3
0.630786657333374,0.0,4
0.648472785949707,0.0,0
0.648472785949707,0.0,1
0.648472785949707,0.0,2
0.648472785949707,0.0,3
0.648472785949707,0.0,4
0.6626260280609131,0.0,0
0.6626260280609131,0.0,1
0.6626260280609131,0.0,2
0.6626260280609131,0.0,3
0.6626260280609131,0.0,4
0.6831927299499512,0.0,0
0.6831927299499512,0.0,1
0.6831927299499512,0.0,2
0.6831927299499512,0.0,3
0.6831927299499512,0.0,4
0.6990189552307129,0.0,0
0.6990189552307129,0.0,1
0.6990189552307129,0.0,2
0.6990189552307129,0.0,3
0.6990189552307129,0.0,4
0.7123110294342041,0.0,0
0.7123110294342041,0.0,1
0.7123110294342041,0.0,2
0.7123110294342041,0.0,3
0.7123110294342041,0.0,4
0.7285676002502441,0.0,0
0.7285676002502441,0.0,1
0.7285676002502441,0.0,2
0.7285676002502441,0.0,3
0.7285676002502441,0.0,4
0.7568466663360596,0.0,0
0.7568466663360596,0.0,1
0.7568466663360596,0.0,2
0.7568466663360596,0.0,3
0.7568466663360596,0.0,4
0.7811968326568604,0.0,0
0.7811968326568604,0.0,1
0.7811968326568604,0.0,2
0.7811968326568604,0.0,3
0.7811968326568604,0.0,4
