type,competitorID,time,exchange,odds,agentID,stake,distance,rank,balance,decision
Trade,0,4.368170976638794,0,6.478055788035538,54,15,34.825595601084906,4,99999625,backer
Trade,0,4.368170976638794,0,6.478055788035538,1,15,34.825595601084906,4,99999400,layer
Trade,0,5.2601799964904785,0,1.1,1,15,34.825595601084906,4,99999400,backer
Trade,0,5.2601799964904785,0,1.1,51,15,34.825595601084906,4,99999610,layer
Trade,0,5.5913190841674805,0,1.1,1,15,44.887163374349065,5,99999400,backer
Trade,0,5.5913190841674805,0,1.1,53,15,44.887163374349065,5,99999640,layer
Trade,0,7.643436670303345,0,1.1,1,15,63.201323983961686,5,99999400,backer
Trade,0,7.643436670303345,0,1.1,58,15,63.201323983961686,5,100000446.26711309,layer
Trade,0,7.955049991607666,0,1.1,1,15,63.201323983961686,5,99999400,backer
Trade,0,7.955049991607666,0,1.1,57,15,63.201323983961686,5,100000416.15263605,layer
Trade,0,8.141283750534058,0,1.1,1,15,63.201323983961686,5,99999400,backer
Trade,0,8.141283750534058,0,1.1,58,15,63.201323983961686,5,100000446.26711309,layer
Trade,0,8.181618928909302,0,1.1,1,15,63.201323983961686,5,99999400,backer
Trade,0,8.181618928909302,0,1.1,57,15,63.201323983961686,5,100000416.15263605,layer
Trade,0,10.372572898864746,0,1.1,1,15,82.46894605189803,5,99999400,backer
Trade,0,10.372572898864746,0,1.1,55,15,82.46894605189803,5,100000274.94883671,layer
Trade,0,10.896723985671997,0,1.1,1,15,92.20690613397547,5,99999400,backer
Trade,0,10.896723985671997,0,1.1,58,15,92.20690613397547,5,100000446.26711309,layer
Trade,0,10.965945720672607,0,1.1,1,15,92.20690613397547,5,99999400,backer
Trade,0,10.965945720672607,0,1.1,57,15,92.20690613397547,5,100000416.15263605,layer
Trade,0,12.230051755905151,0,1.2000000000000002,1,15,98.61751021751635,5,99999400,backer
Trade,0,12.230051755905151,0,1.2000000000000002,57,15,98.61751021751635,5,100000416.15263605,layer
Trade,0,13.111947059631348,0,1.2000000000000002,1,15,107.78884816281878,5,99999400,backer
Trade,0,13.111947059631348,0,1.2000000000000002,59,15,107.78884816281878,5,100000363.11447704,layer
Trade,0,16.164820909500122,0,1.3000000000000003,1,15,136.4051078114916,5,99999400,backer
Trade,0,16.164820909500122,0,1.3000000000000003,55,15,136.4051078114916,5,100000274.94883671,layer
Trade,0,18.845853805541992,0,1.4000000000000004,1,15,164.15593502460968,5,99999400,backer
Trade,0,18.845853805541992,0,1.4000000000000004,55,15,164.15593502460968,5,100000274.94883671,layer
Trade,0,20.12354588508606,0,1.3000000000000003,1,15,173.77858551171894,5,99999400,backer
Trade,0,20.12354588508606,0,1.3000000000000003,58,15,173.77858551171894,5,100000446.26711309,layer
Trade,0,21.35647487640381,0,1.3000000000000003,1,15,183.4657092190863,5,99999400,backer
Trade,0,21.35647487640381,0,1.3000000000000003,56,15,183.4657092190863,5,100000301.07631803,layer
Trade,0,22.282849073410034,0,1.3000000000000003,1,15,194.71755182788496,5,99999400,backer
Trade,0,22.282849073410034,0,1.3000000000000003,59,15,194.71755182788496,5,100000363.11447704,layer
Trade,0,22.670918941497803,0,1.3000000000000003,1,15,194.71755182788496,5,99999400,backer
Trade,0,22.670918941497803,0,1.3000000000000003,57,15,194.71755182788496,5,100000416.15263605,layer
Trade,0,38.024927854537964,0,1.4000000000000004,1,15,347.83434445669457,5,99999400,backer
Trade,0,38.024927854537964,0,1.4000000000000004,55,15,347.83434445669457,5,100000274.94883671,layer
Trade,0,38.04837489128113,0,1.4000000000000004,1,15,347.83434445669457,5,99999400,backer
Trade,0,38.04837489128113,0,1.4000000000000004,59,15,347.83434445669457,5,100000363.11447704,layer
Trade,0,38.12103605270386,0,1.5000000000000004,1,15,347.83434445669457,5,99999400,backer
Trade,0,38.12103605270386,0,1.5000000000000004,58,15,347.83434445669457,5,100000446.26711309,layer
Trade,0,38.12172293663025,0,1.5000000000000004,1,15,347.83434445669457,5,99999400,backer
Trade,0,38.12172293663025,0,1.5000000000000004,57,15,347.83434445669457,5,100000416.15263605,layer
Trade,0,38.13017296791077,0,1.5000000000000004,1,15,347.83434445669457,5,99999400,backer
Trade,0,38.13017296791077,0,1.5000000000000004,56,15,347.83434445669457,5,100000301.07631803,layer
Trade,0,38.130780935287476,0,1.5000000000000004,1,15,347.83434445669457,5,99999400,backer
Trade,0,38.130780935287476,0,1.5000000000000004,55,15,347.83434445669457,5,100000274.94883671,layer
Trade,0,38.138460874557495,0,1.5000000000000004,1,15,347.83434445669457,5,99999400,backer
Trade,0,38.138460874557495,0,1.5000000000000004,59,15,347.83434445669457,5,100000363.11447704,layer
Trade,0,38.19002604484558,0,1.5000000000000004,1,15,347.83434445669457,5,99999400,backer
Trade,0,38.19002604484558,0,1.5000000000000004,58,15,347.83434445669457,5,100000446.26711309,layer
Trade,0,38.20185399055481,0,1.5000000000000004,1,15,347.83434445669457,5,99999400,backer
Trade,0,38.20185399055481,0,1.5000000000000004,57,15,347.83434445669457,5,100000416.15263605,layer
Trade,0,38.20312285423279,0,1.5000000000000004,1,15,347.83434445669457,5,99999400,backer
Trade,0,38.20312285423279,0,1.5000000000000004,56,15,347.83434445669457,5,100000301.07631803,layer
Trade,0,38.21677899360657,0,1.5000000000000004,1,15,347.83434445669457,5,99999400,backer
Trade,0,38.21677899360657,0,1.5000000000000004,59,15,347.83434445669457,5,100000363.11447704,layer
Trade,0,38.245697021484375,0,1.5000000000000004,1,15,347.83434445669457,5,99999400,backer
