Time,0,1,2,3,4
0,0,0,0,0,0
1,7.811199251504431,8.917476650892773,8.917476650892773,8.917476650892773,8.917476650892773
2,16.993697743665777,17.64152274978712,20.006251816905824,20.006251816905824,20.45303367380797
3,25.584776706645144,25.977044819827043,25.977044819827043,25.977044819827043,31.089715204427044
4,34.825595601084906,34.825595601084906,38.22687344355607,38.22687344355607,42.7614633392262
5,44.887163374349065,46.40963966025641,49.52600021817696,49.52600021817696,54.50130702996733
6,53.671661998102785,54.609033045619384,58.92237181665885,54.609033045619384,59.69206587306181
7,63.201323983961686,66.04839422597884,72.7309859698206,66.04839422597884,72.7309859698206
8,72.8004186685601,75.14595437196373,87.9863442508063,77.55787260920756,82.39951335315851
9,82.46894605189803,87.96969185399703,100.47117061674439,89.13746819530557,92.13747343523596
10,92.20690613397547,98.11396316518028,110.14399686949461,101.8462457832699,101.9448662160529
11,98.61751021751635,105.02811430105724,121.83432476907538,114.63151486527343,116.1180194135114
12,107.78884816281878,117.17865466498274,132.62648370694822,127.49327544131617,129.32919502890823
13,117.02465932837933,128.46924088725515,144.48268439909,139.3533398388913,143.66123785689803
14,127.04035020541481,141.72874475756078,156.42182148751226,152.36808340301246,154.98454957659874
15,136.4051078114916,147.67013746963048,166.44021605809792,166.3702822225796,166.3702822225796
16,145.1090131896469,156.30615845752553,180.56272758591174,179.53800877477917,177.81843579484058
17,155.33300216290093,167.89555591747038,190.71934948363156,190.5233169431718,188.49706499544823
18,164.15593502460968,181.50367289839383,207.0805263816906,201.58511660560364,201.03491054475612
19,173.77858551171894,191.28600879737806,219.43434545151536,212.72340776207471,211.84973085724772
20,183.4657092190863,202.11505586156065,234.98028978414695,223.00362519170915,223.6395563813841
21,194.71755182788496,211.0312123847736,251.67321226732798,233.67798352039503,233.67798352039503
22,205.28870429483655,221.99721459955603,266.3762785691053,243.7788315856861,243.7788315856861
23,215.92928946052766,231.02542533689615,283.290364775701,254.26940062392836,255.7899676666339
24,226.63930732495825,240.10966318129985,299.25099108973507,266.01565758448527,266.01565758448527
25,235.10887562459192,252.29668311658958,309.96052229599155,277.61289770519164,278.1743340366407
26,245.95775888650155,266.6020263187487,326.1284896007269,290.25944028783266,290.40678067439995
27,256.8760748471507,279.96648733571845,343.4849032541519,300.8197333710918,300.8197333710918
28,267.078984316583,291.3433550023005,357.6768371101969,312.2474136870612,312.2474136870612
29,276.5565683378357,302.78870024418245,368.6628229707217,323.74318955897263,323.74318955897263
30,285.298907953946,316.3959453917611,383.03445235204117,334.72457901729985,336.2707169391471
31,296.4949547095532,327.9782457842429,399.72077213352964,347.7854505259866,349.84134508690835
32,305.3464028522542,341.7473470188941,415.3914297252461,359.9181311049675,362.5164128382905
33,315.0620418406138,354.5319894295287,428.90635834299786,373.14473418407255,374.2845709339698
34,327.2809827532842,368.46294675125245,445.9036896105382,386.4542030483868,387.1071790565595
35,337.1156492251973,380.319157444934,458.4444242366582,398.8163581094853,400.0035573647531
36,347.83434445669457,393.32790828382286,472.2081620432515,410.2184507850282,413.97140958884256
37,360.2764619010277,403.14049852005314,486.05483624612526,422.73358883420514,428.01870662819766
38,371.12410357304117,415.2021419396345,500,435.32521837742127,441.13639549320266
39,382.0362184653128,425.1267863899919,500,446.937662661572,452.2983993052562
40,393.8571595095756,437.3253849601731,500,459.6822751928666,466.58403079040824
41,406.59684566279236,447.36208362465766,500,473.5718045536449,477.87087645502214
42,417.70238021583833,457.4548093962058,500,486.4694000730179,491.28364606244236
43,428.0131566219652,470.9864799010214,500,500,500
44,439.2476376155274,484.59285321525516,500,500,500
45,448.8082911810677,498.273929338907,500,500,500
46,461.919938220389,500,500,500,500
47,471.58970031251994,500,500,500,500
48,484.85013170628304,500,500,500,500
49,496.40697880113584,500,500,500,500
50,500,500,500,500,500
